time_numeric,Sea_Ice_Concentration,NAO,AO,ENSO,solar_radiation,Central Arctic,Chukchi Sea,East Siberian Sea,Beaufort Sea,Canadian Archipelago,Laptev Sea,Kara Sea,Barents Sea
1983.083333,0.0006912,-1.68,-2.78,2.11,-63.295,-0.01501531,0.033729246,-0.008794151,0.037919355,0.006012121,-0.009612431,-0.013737544,-0.172028966
1983.166667,-0.00212953,-0.2,-1.641,1.25,-11337.72,-0.018792909,0.018469987,-0.00495838,0.025488479,0.002238859,-0.007442413,-0.013668772,-0.164950625
1983.25,-0.00513385,-0.95,-2.192,0.74,-16242.44,-0.010505238,0.009941252,-0.001460067,0.006456221,0.002464171,-0.009539305,-0.007049825,-0.144147465
1983.333333,-0.00366974,0.46,-0.232,0.45,-20672.46,-0.007807413,-0.015765006,-0.011687289,0.028536866,0.005736898,-0.020661792,0.001991579,-0.073152074
1983.416667,-0.0019563,2.62,1.493,0.01,17227.04,-0.026269944,0.089777778,0.002904387,0.025089862,0.007813191,-0.047595978,0.022534737,-0.129712969
1983.5,9.09E-05,0.04,0.126,-0.48,-46295.1,-0.044088638,0.14284802,-0.013183352,0.09328341,0.012185383,-0.04376234,-0.014807018,-0.104499013
1983.583333,1.81E-05,1.35,0.736,-1,-26519.13,-0.023066882,0.131869732,-0.007028121,0.083285714,0.000724421,-0.101987203,-0.029639298,-0.044427913
1983.666667,0.00351495,-2.88,-0.391,-2.01,-20786.87,0.002877518,0.200832695,0.085255343,0.18475576,-0.042670945,-0.004270567,-0.049378246,-0.045410138
1983.75,0.0014563,1.39,1.58,-3.15,478.844,0.013499597,0.127726692,0.094679415,0.087087558,-0.025562923,0.085731261,-0.117765614,-0.103867018
1983.833333,-0.00110065,-2.58,-1.349,-3.21,432.319,0.027025786,0.074630907,0.022251969,-0.019423963,-0.010431373,-0.002343693,-0.085991579,-0.04319684
1983.916667,-0.00352726,-1.49,-0.781,-3.23,-189.7253,0.012008058,-0.048779055,0.001214848,-0.013923963,-0.009309091,0.001312614,0.007649123,0.058480579
1984,-0.0040503,0.07,-0.454,-3.02,375.6939,0.009058824,-0.055351213,0.00456018,-0.004299539,-0.006180392,0.010767824,-0.004221754,0.035977617
1984.083333,-0.0081527,1.25,1.503,-2.13,-946.995,-0.004450443,-0.037739464,0.001572553,-0.003023041,-0.004259537,0.001689214,-0.03362386,-0.061465438
